Year,School,gradTotal,Type,Ownership
107,國立暨南國際大學,223,General,Public
107,國立東華大學,407,General,Public
107,國立清華大學,1615,General,Public
107,國立澎湖科技大學,36,Tech,Public
107,國立聯合大學,148,General,Public
107,國立臺中教育大學,208,General,Public
107,國立臺中科技大學,125,Tech,Public
107,國立臺北商業大學,70,Tech,Public
107,國立臺北大學,412,General,Public
107,國立臺北教育大學,281,General,Public
107,國立臺北科技大學,1189,Tech,Public
107,國立臺北藝術大學,200,General,Public
107,國立臺北護理健康大學,140,Tech,Public
107,國立臺南大學,231,General,Public
107,國立臺南藝術大學,91,General,Public
107,國立臺東大學,68,General,Public
107,國立臺灣大學,3533,General,Public
107,國立臺灣師範大學,1068,General,Public
107,國立臺灣海洋大學,525,General,Public
107,國立臺灣科技大學,1389,Tech,Public
107,國立臺灣藝術大學,176,General,Public
107,國立臺灣體育運動大學,57,General,Public
107,國立虎尾科技大學,363,Tech,Public
107,國立金門大學,59,General,Public
107,國立陽明大學,447,General,Public
107,國立雲林科技大學,731,Tech,Public
107,國立體育大學,95,General,Public
107,國立高雄大學,191,General,Public
107,國立高雄師範大學,317,General,Public
107,國立高雄科技大學,945,Tech,Public
107,國立高雄餐旅大學,43,Tech,Public
107,大仁科技大學,27,Tech,Private
107,大同大學,153,General,Private
107,大漢技術學院,22,Tech,Private
107,敏實科技大學,5,Tech,Private
107,大葉大學,297,General,Private
107,實踐大學,77,General,Private
107,崇右影藝科技大學,30,Tech,Private
107,崑山科技大學,173,Tech,Private
107,嶺東科技大學,76,Tech,Private
107,康寧大學,55,General,Private
107,建國科技大學,70,Tech,Private
107,弘光科技大學,76,Tech,Private
107,德明財經科技大學,13,Tech,Private
107,慈濟大學,95,General,Private
107,慈濟科技大學,13,Tech,Private
107,文藻外語大學,29,Tech,Private
107,明志科技大學,154,Tech,Private
107,明新科技大學,106,Tech,Private
107,明道大學,51,General,Private
107,景文科技大學,20,Tech,Private
107,朝陽科技大學,201,Tech,Private
107,東南科技大學,56,Tech,Private
107,東吳大學,325,General,Private
107,東方設計大學,39,Tech,Private
107,東海大學,363,General,Private
107,樹德科技大學,79,Tech,Private
107,正修科技大學,126,Tech,Private
107,法鼓文理學院,21,General,Private
107,淡江大學,637,General,Private
107,玄奘大學,54,General,Private
107,環球科技大學,41,Tech,Private
107,真理大學,46,General,Private
107,稻江科技暨管理學院,19,General,Private
107,德育護理健康學院,8,Tech,Private
107,美和科技大學,45,Tech,Private
